feature,importance
cycle_index,16.4026866101807
rw_duration_s,1.3089948390926238
temperature_std,0.7082311051968097
temperature_min,0.6162922432049058
current_mean,0.46942242710016896
temperature_range,0.37946729679131513
voltage_std,0.34571560224037956
temperature_mean,0.31092766818218853
voltage_mean,0.23647184903413548
voltage_min,0.23119416643160556
current_max,0.23033484100039212
abs_current_mean,0.13755853320151246
current_min,0.1347357963205994
current_range,0.13259578355257434
temperature_max,0.10088575654171938
rw_samples,0.05943551109015517
rw_steps,0.0585155809772568
current_std,0.035094618931242105
voltage_range,0.02832139484858487
charge_throughput_ah,0.01576907340062057
discharge_throughput_ah,0.006235206908525126
voltage_max,0.0046199139049211135
profile_group,-0.0014129851658960303
